Hours,contact_10wet,contact_10dry,20_10wet,40_10wet,60_10wet,20_10dry,40_10dry,60_10dry
2.05,399.129699,492.6,61.94285266,29.55,23.05,67.5,30.05,22.95
2.06666667,396.871392,489.6,62.06998055,29.55,22.8,67.5,30.15,22.9
2.08333333,394.4207459,486.7,62.19711211,29.6,22.85,67.55,30.25,22.9
2.1,392.0611121,483.6,62.32424737,29.6,23.05,67.65,30.35,23
2.11666667,389.7925615,480.55,62.45138639,29.65,22.7,67.65,30.45,23
2.13333333,387.6233261,477.55,62.5785292,29.7,22.7,67.7,30.6,22.95
2.15,385.1695627,474.65,62.83282643,29.8,22.9,67.8,30.65,22.95
2.16666667,383.1487246,471.75,62.83282643,29.8,22.9,67.85,30.7,22.95
2.18333333,380.7270617,468.8,62.95998094,29.8,23.05,67.85,30.85,22.95
2.2,378.4545282,465.95,63.21430198,29.85,23.15,67.9,30.9,22.95
2.21666667,376.1810777,463.05,63.21430198,29.9,23,67.9,31.1,23
2.23333333,373.9066635,460.2,63.3414686,29.95,22.85,67.9,31.15,23
2.25,371.7234828,457.45,63.46863936,30,23.05,68,31.25,23
2.26666667,369.4470663,454.9,63.59581429,30.05,22.85,68,31.3,23
2.28333333,367.3119241,452.05,63.72299346,30.1,23.2,68,31.4,23.05
2.3,365.1757716,449.4,63.8501769,30.2,23.2,68,31.5,23.05
2.31666667,362.9460497,446.65,63.97736467,30.2,23.2,68,31.6,23.1
2.33333333,360.7576805,444,64.1045568,30.25,23.35,68.05,31.65,23.1
2.35,358.4755008,441.25,64.1045568,30.25,22.85,68.05,31.75,23.1
2.36666667,356.9274942,438.55,64.23175336,30.3,23,68.1,31.85,23.1
2.38333333,354.3784259,436.05,64.35895438,30.4,23.15,68.05,31.95,23.05
2.4,352.1424323,433.45,64.35895438,30.4,23.25,68.05,32.05,23.15
2.41666667,350.040973,430.8,64.48615992,30.45,23.1,68.1,32.1,23.1
2.43333333,347.9883433,428.25,64.48615992,30.5,23.15,68.1,32.2,23.15
2.45,345.8845083,425.75,64.61337002,30.6,23.2,68.1,32.25,23.15
2.46666667,344.1294324,423.25,64.74058472,30.6,23.15,68.1,32.35,23.15
2.48333333,342.0230803,420.75,64.86780408,30.6,23.3,68.1,32.45,23.15
2.5,339.765416,418.3,64.86780408,30.65,23.35,68.05,32.5,23.1
2.51666667,337.6564035,415.9,64.99502815,30.65,23.35,68.1,32.6,23.1
2.53333333,335.5896531,413.45,64.99502815,30.75,23.1,68.1,32.7,23.15
2.55,333.477938,411.05,64.99502815,30.8,23.1,68.1,32.8,23.15
2.56666667,331.4586148,408.7,65.12225697,30.8,23.2,68.05,32.9,23.15
2.58333333,329.3440605,406.25,65.12225697,30.9,23.3,68.05,33,23.2
2.6,327.372037,403.9,65.24949059,30.9,23.4,68.05,33.05,23.15
2.61666667,325.3986674,401.55,65.24949059,30.9,23.35,68,33.15,23.15
2.63333333,323.4239217,399.15,65.24949059,30.95,23.3,68,33.25,23.2
2.65,321.3533912,396.85,65.37672906,31,23.3,67.95,33.3,23.2
2.66666667,319.4201811,394.5,65.37672906,31,23.2,67.95,33.4,23.15
2.68333333,317.5857208,392.3,65.37672906,31,23.2,67.9,33.45,23.15
2.7,315.5605717,390.15,65.37672906,31.15,23.4,67.9,33.5,23.2
2.71666667,313.77332,387.9,65.50397242,31.15,23.25,67.85,33.6,23.2
2.73333333,311.7897994,385.7,65.50397242,31.15,23.15,67.85,33.65,23.25
2.75,309.9497561,383.45,65.50397242,31.25,23.2,67.8,33.65,23.2
2.76666667,308.1083349,381.4,65.50397242,31.25,23.25,67.8,33.75,23.2
2.78333333,306.1702121,379.25,65.50397242,31.25,23.25,67.75,33.85,23.25
2.8,304.230412,377.2,65.63122072,31.3,23.2,67.7,33.85,23.25
2.81666667,302.6300169,375,65.63122072,31.35,23.2,67.7,33.95,23.25
2.83333333,300.6327135,372.9,65.63122072,31.35,23.4,67.7,34.05,23.25
2.85,299.2339062,370.75,65.63122072,31.35,23.4,67.55,34.05,23.3
2.86666667,297.1294904,368.6,65.63122072,31.45,23.6,67.55,34.1,23.25
2.88333333,295.4777307,366.5,65.63122072,31.5,23.45,67.55,34.2,23.3
2.9,293.5205661,364.45,65.63122072,31.6,23.25,67.5,34.25,23.3
2.91666667,292.2120568,362.5,65.63122072,31.65,23.25,67.45,34.3,23.3
2.93333333,290.2021833,360.45,65.63122072,31.7,23.35,67.4,34.35,23.3
2.95,288.2443787,358.35,65.63122072,31.7,23.35,67.35,34.45,23.3
2.96666667,286.5315893,356.35,65.63122072,31.7,23.2,67.3,34.45,23.3
2.98333333,284.817375,354.45,65.63122072,31.75,23.45,67.25,34.55,23.3
3,283.0017161,352.55,65.63122072,31.8,23.35,67.2,34.6,23.35
3.01666667,281.2375083,350.5,65.63122072,31.8,23.4,67.15,34.65,23.25
3.03333333,279.6159853,348.6,65.63122072,31.85,23.45,67.1,34.75,23.3
3.05,277.8958737,346.65,65.63122072,31.9,23.45,67.05,34.75,23.3
3.06666667,276.3217231,344.75,65.63122072,31.9,23.5,67,34.85,23.35
3.08333333,274.5962981,342.85,65.63122072,31.95,23.45,67,34.9,23.35
3.1,273.0718407,340.7,65.63122072,31.95,23.35,66.95,35,23.35
3.11666667,271.1936905,339.1,65.63122072,31.95,23.3,66.85,35,23.35
3.13333333,269.6142194,337.25,65.63122072,32,23.25,66.85,35.05,23.35
3.15,267.9834123,335.3,65.63122072,32.05,23.6,66.75,35.15,23.35
3.16666667,266.4012541,333.65,65.63122072,32.1,23.4,66.7,35.15,23.4
3.18333333,264.8177296,331.8,65.63122072,32.1,23.25,66.65,35.25,23.35
3.2,263.2328239,330,65.63122072,32.15,23.35,66.65,35.25,23.35
3.21666667,261.6465217,328.25,65.63122072,32.15,23.5,66.55,35.3,23.4
3.23333333,260.0088079,326.5,65.63122072,32.2,23.45,66.45,35.35,23.4
3.25,258.3696674,324.8,65.50397242,32.2,23.25,66.4,35.35,23.4
3.26666667,256.879085,323.05,65.50397242,32.15,23.2,66.35,35.45,23.4
3.28333333,255.3863154,321.3,65.50397242,32.1,22.85,66.3,35.5,23.4
3.3,253.7929516,319.65,65.50397242,32.2,23.1,66.25,35.5,23.45
3.31666667,252.247654,317.95,65.50397242,32.3,23.2,66.15,35.55,23.4
3.33333333,250.8508146,316.35,65.37672906,32.35,23.25,66.05,35.6,23.45
3.35,249.7034037,314.65,65.37672906,32.25,23,66,35.65,23.5
3.36666667,248.3044287,313,65.37672906,32.3,22.6,65.95,35.65,23.45
3.38333333,246.8042058,311.35,65.37672906,32.35,22.7,65.9,35.65,23.45
3.4,245.2524808,309.65,65.24949059,32.45,22.9,65.8,35.7,23.5
3.41666667,243.8499715,308,65.24949059,32.5,22.9,65.7,35.7,23.5
3.43333333,242.2954102,306.45,65.12225697,32.55,23.15,65.65,35.8,23.5
3.45,240.890612,304.9,65.12225697,32.55,23.3,65.55,35.85,23.55
3.46666667,239.4339826,303.35,65.12225697,32.6,23.3,65.5,35.85,23.5
3.48333333,237.9760386,301.7,64.99502815,32.65,23.2,65.4,35.8,23.45
3.5,236.2667689,300.15,64.99502815,32.7,23.15,65.3,35.85,23.55
3.51666667,234.6061624,298.6,64.99502815,32.7,23.35,65.2,35.8,23.5
3.53333333,233.4456033,297.05,64.99502815,32.7,23.05,65.1,35.9,23.5
3.55,232.1339713,295.5,64.86780408,32.75,23.2,65.05,35.95,23.5
3.56666667,230.8195934,294,64.86780408,32.75,23.3,64.95,35.95,23.5
3.58333333,229.4556559,292.4,64.86780408,32.9,23.4,64.9,35.95,23.5
3.6,227.9886646,290.85,64.74058472,32.9,23.4,64.8,36,23.5
3.61666667,226.6223865,289.4,64.74058472,32.9,23.4,64.7,36,23.5
3.63333333,225.3049949,287.85,64.74058472,32.95,23.65,64.65,36.05,23.5
3.65,223.6364819,286.4,64.61337002,33.05,23.25,64.5,36.05,23.5
3.66666667,222.2168398,284.9,64.61337002,33,23.25,64.45,36.05,23.5
3.68333333,220.8433832,283.45,64.61337002,33.05,23.25,64.4,36.05,23.5
3.7,219.371316,281.9,64.48615992,33.05,23.2,64.25,36.1,23.55
3.71666667,218.0480956,280.5,64.48615992,33.05,23.3,64.15,36.15,23.55
3.73333333,216.7737141,279,64.48615992,33.05,23.05,64.1,36.15,23.55
3.75,215.3481638,277.55,64.35895438,33.1,23.4,64,36.15,23.55
3.76666667,214.2214371,276.05,64.35895438,33.15,23.1,63.9,36.15,23.5
3.78333333,212.9970802,274.65,64.23175336,33.05,23.15,63.8,36.15,23.5
3.8,211.4181268,273.2,64.23175336,33.15,23.05,63.7,36.15,23.5
3.81666667,210.1879749,271.7,64.1045568,33.2,23.15,63.6,36.2,23.55
3.83333333,209.0106028,270.3,64.1045568,33.25,23.1,63.5,36.2,23.6
3.85,207.5323019,268.9,63.97736467,33.2,22.95,63.4,36.2,23.55
3.86666667,206.4988144,267.5,63.97736467,33.2,23.65,63.3,36.25,23.6
3.88333333,205.2185063,266.1,63.8501769,33.2,23.3,63.25,36.25,23.6
3.9,203.8827112,264.75,63.8501769,33.25,23.3,63.15,36.25,23.6
3.91666667,202.6503723,263.35,63.8501769,33.2,23.35,63.05,36.25,23.65
