Hours,contact_100dry,20cm_100dry,40cm_100dry,60cm_100dry,contact_100wet,20cm_100wet,40cm_100wet,60cm_100wet
3.18,405.05,71.4,33.55,27.9,501,82.5,22.7,18.03967621
3.20,403.6,71.3,33.9,28,499,82.05,22.8,18.03967621
3.22,401.95,71.2,33.9,28,497.1,81.8,22.7,17.91519844
3.23,400.45,71.2,34,28,494.9,81.8,22.8,17.96519844
3.25,398.4,71.3,33.95,28.05,493,81.95,22.8,17.96519844
3.27,397.05,71.2,33.9,28.05,491.05,81.4,22.8,17.96519844
3.28,395.6,71.2,33.9,28.05,489.1,81.4,22.8,18.01519844
3.30,394.25,71.1,33.85,28.05,487.1,81.45,22.8,18.01519844
3.32,392.9,71,33.9,28.05,485.2,81.25,22.8,17.91519844
3.33,391.4,70.9,33.9,28.05,483.45,80.9,22.8,18.01519844
3.35,390.05,70.9,33.95,28.05,481.5,80.75,22.8,18.01519844
3.37,388.9,70.8,34,28.05,479.6,80.65,22.7,18.01519844
3.38,387.35,70.8,34,28.05,477.65,80.95,22.7,18.01519844
3.40,386,70.7,34,28.1,475.85,81,22.8,18.16415624
3.42,384.65,70.6,34.05,28.1,473.85,81,22.8,18.03967621
3.43,383.15,70.6,34.05,28.1,471.95,80.95,22.7,17.89072299
3.45,381.85,70.5,34.1,28.15,470.05,80.85,22.7,18.03967621
3.47,380.5,70.4,34.05,28.15,468.2,81.25,22.7,18.03967621
3.48,379.1,70.4,34.05,28.15,466.45,81.5,22.7,18.03967621
3.50,377.85,70.3,34.05,28.15,464.6,81.4,22.7,18.03967621
3.52,377.1,70.2,34.15,28.1,462.9,81.7,22.7,18.03967621
3.53,375.55,70.1,34.15,28.2,461.15,81.85,22.7,17.89072299
3.55,374.25,70.1,34.15,28.2,459.25,74.95,22.7,17.96519844
3.57,372.85,70.1,34.15,28.15,457.45,73.35,22.7,17.96519844
3.58,371.55,70,34.15,28.15,455.7,72.55,22.7,17.96519844
3.60,370.2,70,34.15,28.15,453.9,72.15,22.6,17.91519844
3.62,368.9,69.9,34.15,28.15,452.1,71.55,22.7,17.91519844
3.63,367.5,69.8,34.2,28.15,450.35,71.25,22.6,17.86519844
3.65,366.15,69.7,34.2,28.15,448.5,70.85,22.6,17.86519844
3.67,364.8,69.7,34.25,28.15,446.75,70.75,22.7,17.81519844
3.68,363.55,69.6,34.2,28.2,445.1,70.8,22.7,17.74072299
3.70,362.2,69.6,34.25,28.2,443.4,70.95,22.7,17.64072299
3.72,360.95,69.5,34.25,28.2,441.75,70.8,22.7,17.69072299
3.73,359.75,69.4,34.25,28.2,440,70.45,22.7,17.71519844
3.75,358.5,69.3,34.3,28.2,438.35,70.6,22.6,17.64072299
3.77,357.3,69.3,34.3,28.25,436.65,70.7,22.7,17.64072299
3.78,356.1,69.2,34.35,28.25,435,70.65,22.7,17.64072299
3.80,354.85,69.1,34.3,28.25,433.35,70.55,22.7,17.59072299
3.82,353.7,69,34.35,28.25,431.65,70.55,22.7,17.66519844
3.83,352.55,69,34.35,28.25,429.95,70.2,22.7,17.64072299
3.85,351.3,68.9,34.4,28.25,428.45,71,22.8,17.4917792
3.87,350.15,68.9,34.3,28.25,426.8,70.95,22.8,17.4417792
3.88,349.3,69.3,34.4,28.25,425.1,70.05,22.7,17.59072299
3.90,347.8,68.7,34.5,28.3,423.55,70.65,22.8,17.73967621
3.92,346.8,68.6,34.5,28.25,421.8,70.8,22.8,17.73967621
3.93,345.55,68.5,34.5,28.25,420.3,70.35,22.9,17.73967621
3.95,344.25,68.4,34.45,28.25,418.75,70.85,22.9,17.73967621
3.97,343.15,68.3,34.55,28.25,417.05,70.8,22.9,17.73967621
3.98,342.05,68.3,34.55,28.3,415.5,70.65,22.9,17.66519844
4.00,340.7,68.2,34.55,28.3,414,70.65,22.9,17.66519844
4.02,339.7,68.1,34.55,28.3,412.35,70.9,22.9,17.66519844
4.03,338.45,68.1,34.55,28.3,410.85,71.1,23,17.66519844
4.05,337.15,68,34.6,28.3,409.35,71,23,17.66519844
4.07,335.85,67.9,34.65,28.35,407.85,70.8,23,17.66519844
4.08,334.8,67.8,34.65,28.35,406.25,71.2,23,17.66519844
4.10,333.65,67.8,34.65,28.35,404.75,70.9,23,17.66519844
4.12,332.55,67.7,34.7,28.3,403.35,70.85,23,17.66519844
4.13,331.5,67.6,34.7,28.3,401.7,71.2,23,17.66519844
4.15,330.3,67.5,34.75,28.35,400.25,71.2,23.1,17.66519844
4.17,329.4,67.4,34.75,28.35,398.8,71.4,23.1,17.66519844
4.18,328.1,67.4,34.7,28.35,397.25,71.3,23,17.66519844
4.20,327,67.3,34.65,28.35,395.8,71.05,23.1,17.66519844
4.22,325.95,67.2,34.7,28.35,394.4,71.1,23.2,17.66519844
4.23,324.85,67.1,34.7,28.35,393,71.3,23.4,17.66519844
4.25,323.7,67,34.7,28.4,391.45,71.85,23.5,17.66519844
4.27,322.6,67,34.7,28.4,390.15,71.5,23.7,17.66519844
4.28,321.55,66.9,34.75,28.4,388.55,71.8,23.9,17.66519844
4.30,320.5,66.7,34.7,28.4,387.3,70.8,24.1,17.71519844
4.32,319.35,66.8,34.75,28.4,385.85,70.95,24.4,17.71519844
4.33,318.25,66.7,34.75,28.35,384.5,71.25,24.5,17.71519844
4.35,317.35,66.6,34.7,28.4,383,71.6,24.8,17.66519844
4.37,316.2,66.5,34.65,28.35,381.65,71.4,24.9,17.66519844
4.38,315.35,66.4,34.7,28.4,380.2,70.85,25,17.66519844
4.40,314.25,66.3,34.75,28.35,378.85,70.75,25.2,17.71519844
4.42,313.2,66.3,34.75,28.3,377.4,70.9,25.2,17.66519844
4.43,312.05,66.2,34.75,28.25,376,70.85,25.2,17.66519844
4.45,311,66.1,34.75,28.25,374.65,70.65,25.2,17.66519844
4.47,310,66.1,34.8,28.2,373.25,70.8,25.2,17.66519844
4.48,309,66,34.75,28.2,372.1,70.95,25.2,17.66519844
4.50,308.05,66,34.85,28.15,370.65,71.45,25.2,17.66519844
4.52,307,65.8,34.9,28.15,369.05,71.85,25.2,17.66519844
4.53,306.05,65.8,34.75,28.15,368.1,70.95,25.2,17.59072299
4.55,305.1,65.7,35.1,28.15,366.8,71.4,25.2,17.59072299
4.57,303.9,65.6,35.15,28.15,365.55,71.3,25.2,17.64072299
4.58,302.8,65.5,35.2,28.15,364.2,71.45,25.2,17.36731094
4.60,301.85,65.4,35.3,28.2,363,71.5,25.2,17.59072299
